h_over_D,E1_over_E2,Eeq_over_E2
0.8924000104073808,0.7607277634676297,0.88
0.9138173039133122,0.7570893158653669,0.88
0.9348080317589432,0.7534485266024971,0.88
0.9523725404004926,0.7503667779982501,0.88
0.9875152516052704,0.7436255068462763,0.88
1.0029332380236389,0.7411098238824734,0.88
1.0256370754713109,0.737189514290292,0.88
1.0479211942195217,0.7329779760657639,0.88
1.0706181847063545,0.7293465534453223,0.88
1.0911823468916853,0.7257034225218453,0.88
1.1096068338146747,0.7223374702670726,0.88
1.1314575399417464,0.7184124773536771,0.88
1.15543422740948,0.714788079715057,0.88
1.1751384113133705,0.7114291524421057,0.88
1.197408836139903,0.707795388161057,0.88
1.2183927170246944,0.704443485869927,0.88
1.2393834448703254,0.7008026966070571,0.88
1.2625070010174586,0.6971736156472228,0.88
1.285637404125431,0.6932556477156486,0.88
1.299782540523738,0.6904440527982846,0.88
1.3194867244276285,0.6870851255253332,0.88
1.3408971709727209,0.6837355648948102,0.88
1.3597482235560103,0.6803719543006448,0.88
1.3785855822176212,0.6775861176499588,0.88
1.400862854004993,0.6736634663971705,0.88
1.4231332788315254,0.6700297021161219,0.88
1.441124353133375,0.6669502951724819,0.88
1.4616679744361871,0.6641738251642245,0.88
1.4818055709612177,0.6605283525801404,0.88
1.4985032543604873,0.6580196945981589,0.88
1.5194871352452788,0.6546677923070288,0.88
1.540897581790371,0.6513182316765058,0.88
1.5623011813746237,0.6482575580177228,0.88
1.579432277395033,0.6454623547246086,0.88
1.597843070396343,0.6426741764133157,0.88
1.6179738199605345,0.6393175908009713,0.88
1.6329652407186022,0.6367995661765614,0.88
1.6522360120013533,0.6337271842147427,0.88
1.677918962110288,0.630112153218551,0.88
1.6984831242956189,0.6264690222950741,0.88
1.7185933329772916,0.6239790975979495,0.88
1.7395635199404045,0.6212049692502991,0.88
1.7613936851849574,0.618146637252123,0.88
1.7849369600315514,0.6148087849246356,0.88
1.802907493450882,0.6125960388962153,0.88
1.829010162259278,0.6092722365323705,0.88
1.851266893164132,0.6062162461948017,0.88
1.8730970584086843,0.6031579141966257,0.88
1.9026259464211623,0.5992750711741581,0.88
1.933413990532023,0.5962659140487313,0.88
1.9492516956498525,0.5940414597172754,0.88
1.9650757068460023,0.5923947793292993,0.88
1.981759696323593,0.5904638952907973,0.88
1.9950174665971017,0.5890920519109185,0.88
